# object imagename zpt
2009H wfpc2.f814w.ut011106_0003.drz.fits 28.36738510316261
2009N wfpc2.f814w.ut010801_0002.drz.fits 28.76140473656678
2009hd acs.f435w.ut041230_0023.drz.fits 33.1771696354056
2009hd acs.f555w.ut091214_0026.drz.fits 32.49816320337371
2009hd acs.f658n.ut041230_0022.drz.fits 30.457727822984182
2009hd acs.f814w.ut091214_0027.drz.fits 32.73123508683317
2009hd acs.f814w.ut190417_0041.drz.fits 34.25120417294197
2009hd wfc3.f110w.ut131128_0034.drz.fits 34.51557149388585
2009hd wfc3.f160w.ut131128_0035.drz.fits 33.94687912343964
2009hd wfc3.f275w.ut140208_0036.drz.fits 32.590901430195615
2009hd wfc3.f275w.ut191111_0045.drz.fits 32.500833708891555
2009hd wfc3.f336w.ut131029_0028.drz.fits 33.136192387520126
2009hd wfc3.f336w.ut140208_0037.drz.fits 32.30256774177495
2009hd wfc3.f336w.ut191111_0044.drz.fits 32.30076908621105
2009hd wfc3.f438w.ut131029_0029.drz.fits 32.861887159170244
2009hd wfc3.f438w.ut140208_0038.drz.fits 32.280497823416276
2009hd wfc3.f438w.ut191111_0043.drz.fits 32.37283826196721
2009hd wfc3.f555w.ut131029_0030.drz.fits 33.61905509550539
2009hd wfc3.f555w.ut131128_0032.drz.fits 33.42310083822978
2009hd wfc3.f555w.ut140208_0039.drz.fits 33.437170971765
2009hd wfc3.f555w.ut191111_0046.drz.fits 32.85447857319584
2009hd wfc3.f814w.ut131030_0031.drz.fits 33.1801287919545
2009hd wfc3.f814w.ut131128_0033.drz.fits 32.74530048983926
2009hd wfc3.f814w.ut140208_0040.drz.fits 32.60105643550878
2009hd wfc3.f814w.ut191111_0042.drz.fits 32.41377033796958
2009hd wfpc2.f336w.ut051113_0024.drz.fits 28.75773873363869
2009hd wfpc2.f336w.ut090113_0025.drz.fits 29.415842320575145
2009hd wfpc2.f555w.ut010304_0020.drz.fits 29.68468079119987
2009hd wfpc2.f555w.ut971112_0002.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971116_0004.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971120_0005.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971128_0006.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971203_0007.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971208_0009.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971214_0010.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971218_0011.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971221_0013.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut971227_0014.drz.fits 31.797425891235513
2009hd wfpc2.f555w.ut980110_0017.drz.fits 31.797425891235513
2009hd wfpc2.f606w.ut011126_0021.drz.fits 29.881148032622306
2009hd wfpc2.f606w.ut941228_0001.drz.fits 28.520977921746617
2009hd wfpc2.f814w.ut010224_0019.drz.fits 29.217255257398488
2009hd wfpc2.f814w.ut971112_0003.drz.fits 31.351935168202893
2009hd wfpc2.f814w.ut971203_0008.drz.fits 31.351935168202893
2009hd wfpc2.f814w.ut971218_0012.drz.fits 31.351935168202893
2009hd wfpc2.f814w.ut971227_0015.drz.fits 31.351935168202893
2009hd wfpc2.f814w.ut980110_0018.drz.fits 31.351935168202893
2009ib wfc3.f110w.ut210116_0040.drz.fits 34.827225166491715
2009ib wfc3.f110w.ut210503_0042.drz.fits 34.827225166491715
2009ib wfc3.f110w.ut210827_0044.drz.fits 34.827225166491715
2009ib wfc3.f160w.ut170909_0009.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut170919_0015.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut171011_0021.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut171023_0023.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut171127_0027.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut180124_0029.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut180322_0031.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut180518_0033.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut180715_0035.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut180911_0037.drz.fits 33.44397869871847
2009ib wfc3.f160w.ut210116_0039.drz.fits 33.435956299987055
2009ib wfc3.f160w.ut210503_0041.drz.fits 33.435956299987055
2009ib wfc3.f160w.ut210827_0043.drz.fits 33.435956299987055
2009ib wfc3.f275w.ut190406_0038.drz.fits 33.322963781749586
2009ib wfc3.f336w.ut151030_0005.drz.fits 32.27229649657087
2009ib wfc3.f350lp.ut170909_0008.drz.fits 34.62555595426387
2009ib wfc3.f350lp.ut170912_0010.drz.fits 34.66673132801131
2009ib wfc3.f350lp.ut170915_0012.drz.fits 34.62553820064826
2009ib wfc3.f350lp.ut170919_0014.drz.fits 34.625526768391396
2009ib wfc3.f350lp.ut170925_0016.drz.fits 34.666692963321736
2009ib wfc3.f350lp.ut171002_0018.drz.fits 34.66667516874105
2009ib wfc3.f350lp.ut171011_0020.drz.fits 34.62546679273872
2009ib wfc3.f350lp.ut171023_0022.drz.fits 34.62543477231206
2009ib wfc3.f350lp.ut171107_0024.drz.fits 34.625392288469655
2009ib wfc3.f350lp.ut171127_0026.drz.fits 34.62533725663456
2009ib wfc3.f350lp.ut180124_0028.drz.fits 34.62517993589932
2009ib wfc3.f350lp.ut180322_0030.drz.fits 34.62502347898672
2009ib wfc3.f350lp.ut180518_0032.drz.fits 34.6248674476974
2009ib wfc3.f350lp.ut180715_0034.drz.fits 34.624707193198525
2009ib wfc3.f438w.ut151030_0007.drz.fits 32.53795220582887
2009ib wfc3.f555w.ut170915_0013.drz.fits 33.214719351988265
2009ib wfc3.f555w.ut171002_0019.drz.fits 33.214628671863494
2009ib wfc3.f606w.ut151030_0006.drz.fits 33.89869209107169
2009ib wfc3.f814w.ut151030_0004.drz.fits 32.95876200849113
2009ib wfc3.f814w.ut170912_0011.drz.fits 32.539860554817125
2009ib wfc3.f814w.ut170926_0017.drz.fits 32.53981498343571
2009ib wfc3.f814w.ut171107_0025.drz.fits 32.539676162316205
2009ib wfpc2.f450w.ut010802_0001.drz.fits 28.200775283663255
2009ib wfpc2.f606w.ut010802_0002.drz.fits 29.27355291090657
2009ib wfpc2.f814w.ut010802_0003.drz.fits 28.36738510316261
2009ls wfc3.f350lp.ut210222_0005.drz.fits 35.05860712858396
2009ls wfc3.f606w.ut210223_0006.drz.fits 33.29072509209917
2009ls wfpc2.f450w.ut011106_0003.drz.fits 28.594794917067425
2009ls wfpc2.f606w.ut011106_0004.drz.fits 29.66757254431074
2009ls wfpc2.f606w.ut940504_0001.drz.fits 28.520977921746617
2009ls wfpc2.f814w.ut010207_0002.drz.fits 28.805979465090843
2009md wfpc2.f606w.ut050314_0001.drz.fits 32.236168165178086
2009md wfpc2.f606w.ut050520_0003.drz.fits 32.300686324193805
2009md wfpc2.f814w.ut050520_0004.drz.fits 31.394518516449843
2012aw wfc3.f275w.ut140423_0022.drz.fits 32.59060639259343
2012aw wfc3.f336w.ut140423_0023.drz.fits 32.25451211835582
2012aw wfc3.f547m.ut150303_0028.drz.fits 31.59854561888554
2012aw wfc3.f555w.ut140423_0025.drz.fits 33.365552571802546
2012aw wfc3.f555w.ut151023_0030.drz.fits 32.9254291926631
2012aw wfc3.f555w.ut161024_0032.drz.fits 32.92342828806529
2012aw wfc3.f555w.ut210217_0034.drz.fits 32.91492638681413
2012aw wfc3.f657n.ut150303_0027.drz.fits 30.62668495609702
2012aw wfc3.f814w.ut140423_0026.drz.fits 32.51796581069142
2012aw wfc3.f814w.ut151022_0029.drz.fits 32.351192582088565
2012aw wfc3.f814w.ut161024_0031.drz.fits 32.34996284018538
2012aw wfc3.f814w.ut210217_0033.drz.fits 32.34476363705248
2012aw wfpc2.f336w.ut090118_0021.drz.fits 29.728189162095894
2012aw wfpc2.f439w.ut941129_0003.drz.fits 29.272415172989703
2012aw wfpc2.f439w.ut941219_0008.drz.fits 29.272415172989703
2012aw wfpc2.f555w.ut941129_0001.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941207_0004.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941216_0005.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941219_0006.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941222_0009.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941224_0010.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut941228_0011.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut950101_0013.drz.fits 31.162342308766117
2012aw wfpc2.f555w.ut950105_0014.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut950110_0015.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut950116_0016.drz.fits 31.022463795443244
2012aw wfpc2.f555w.ut950123_0018.drz.fits 31.06678571284432
2012aw wfpc2.f555w.ut951204_0019.drz.fits 30.82451068032418
2012aw wfpc2.f658n.ut090118_0020.drz.fits 26.597353481659653
2012aw wfpc2.f814w.ut941129_0002.drz.fits 30.55503826164186
2012aw wfpc2.f814w.ut941219_0007.drz.fits 30.46056685941836
2012aw wfpc2.f814w.ut950101_0012.drz.fits 30.694916774964735
2012aw wfpc2.f814w.ut950116_0017.drz.fits 30.59936017904294
2012ec acs.f814w.ut100920_0004.drz.fits 33.44074300747306
2012ec acs.f814w.ut190729_0005.drz.fits 34.24897844937304
2012ec wfpc2.f450w.ut011106_0001.drz.fits 28.200775283663255
